Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,175.899994,175.899994,172.649994,175.149994,172.052719,765307
05-01-2010,175.899994,182.100006,175.850006,181.300003,178.093979,2292252
06-01-2010,183,184.449997,181.050003,181.699997,178.486908,1484703
07-01-2010,183.600006,185.300003,182,183.449997,180.205963,1259183
08-01-2010,184.449997,185,180.199997,180.699997,177.504593,1012930
11-01-2010,182.5,183.649994,180.5,181.949997,178.732483,1212311
12-01-2010,181,182.699997,175,175.600006,172.494781,1512050
13-01-2010,175,176.600006,173,175.649994,172.543884,1210586
14-01-2010,176.899994,184,175.800003,182.800003,179.567459,2696396
15-01-2010,184,193.350006,184,191.5,188.113617,4752437
18-01-2010,185,193.800003,185,190.25,186.885712,1539669
19-01-2010,190.199997,192.699997,185.350006,186.399994,183.10379,1453461
20-01-2010,187,190.699997,185.5,186.850006,183.545853,1230700
21-01-2010,186.800003,189.850006,184.199997,184.800003,181.532104,1339327
22-01-2010,180,184.399994,176.199997,181.949997,178.732483,1701897
25-01-2010,180.300003,183.199997,177.699997,179.100006,175.932877,1328935
27-01-2010,178.5,180.949997,172.800003,174.899994,171.807159,1468232
28-01-2010,176,182,169.75,171.350006,168.319931,1539982
29-01-2010,168,170.800003,166,169.850006,166.846466,1494045
01-02-2010,169.100006,175.5,166.800003,173.800003,170.726624,2495500
02-02-2010,176,176,168.100006,168.949997,165.962387,1140720
03-02-2010,170.100006,172.5,168,171.050003,168.025238,1225197
04-02-2010,170.899994,170.949997,164.050003,164.899994,161.983994,946152
05-02-2010,161.5,165.050003,159,163.600006,160.70697,2103760
08-02-2010,165,169.949997,163.5,168.699997,165.716797,1117166
09-02-2010,160,170.100006,160,168.199997,165.225632,675069
10-02-2010,169.699997,170.449997,167.25,168.050003,165.078278,752729
11-02-2010,169,170.850006,168.899994,169.5,166.50264,648439
15-02-2010,169.25,172.800003,163.800003,164.550003,161.640198,843926
16-02-2010,165.100006,168.399994,162.25,167.199997,164.243301,811762
17-02-2010,169,171.199997,165.899994,170.5,167.484955,925594
18-02-2010,170,170.699997,166.300003,167.449997,164.488876,447567
19-02-2010,165,167,160.899994,161.800003,158.938812,883519
22-02-2010,162.5,164.800003,160,160.399994,157.563568,489930
23-02-2010,160.399994,161.850006,159,160.550003,157.710907,452751
24-02-2010,159.300003,160.5,157,157.399994,154.616608,633386
25-02-2010,158.800003,159,154.550003,154.899994,152.160828,902324
26-02-2010,155.5,159.600006,155.100006,157.350006,154.567505,935132
02-03-2010,159.25,160.800003,158,159.649994,156.826828,756667
03-03-2010,160.050003,161.399994,159.5,160.699997,157.858261,661553
04-03-2010,160.699997,164.800003,160.199997,164.149994,161.247253,965895
05-03-2010,165.25,167.399994,164.5,165.050003,162.131332,670820
08-03-2010,168.899994,168.899994,163.25,164.149994,161.247253,524214
09-03-2010,165,165.5,162.100006,162.550003,159.675552,377599
10-03-2010,163.800003,164.850006,162.149994,162.649994,159.773773,456023
11-03-2010,163.100006,163.5,159.399994,160.75,157.907379,549535
12-03-2010,160.5,162.199997,156.800003,157.449997,154.665726,1017134
15-03-2010,158.5,160.699997,157.600006,158.350006,155.54982,1014863
16-03-2010,160,161.75,157.899994,160.550003,157.710907,611978
17-03-2010,162,163.350006,159.649994,161,158.152954,790871
18-03-2010,161.5,164.800003,161.350006,164.399994,161.492844,973722
19-03-2010,164.699997,168.25,164.699997,167.649994,164.685349,1210518
22-03-2010,166,172.75,164.850006,170.800003,167.779663,1702061
23-03-2010,172.449997,173.899994,167.199997,170.300003,167.288498,1278089
25-03-2010,170.350006,171.899994,168.199997,169.050003,166.060608,717814
26-03-2010,170.699997,170.699997,167.350006,167.75,164.783585,614728
29-03-2010,167.75,170,167,168.25,165.27475,685608
30-03-2010,168.199997,169.550003,166.100006,166.350006,163.408356,412423
31-03-2010,166.399994,174.100006,164.699997,170.699997,167.681427,1146157
01-04-2010,174,174,169.550003,170.949997,167.927002,697214
05-04-2010,172.800003,173.149994,169.300003,172.649994,169.596939,711094
06-04-2010,173,178,172.949997,177.149994,174.017349,2113362
07-04-2010,177,181.199997,176,177.699997,174.557632,1577564
