Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,133.751373,135.097580,133.577682,134.079483,106.125458,3172720
2010-01-05,134.716400,137.997452,134.422058,136.033646,107.672203,4254349
2010-01-06,136.067413,144.366562,136.067413,142.344849,112.667587,8747201
2010-01-07,142.822540,144.945572,139.444977,142.933517,113.133553,5495560
2010-01-08,143.305054,144.077057,141.355713,142.856308,113.072418,3916987
2010-01-11,143.314697,146.460648,141.490814,142.822540,113.045700,4785645
2010-01-12,145.659683,145.659683,140.902161,143.700699,113.740768,3978032
2010-01-13,142.822540,144.636765,142.397934,143.773087,113.798073,1436523
2010-01-14,144.270065,145.389481,139.671753,140.545105,111.243073,5188156
2010-01-15,140.545105,141.664520,139.396729,140.564392,111.258354,2027922
2010-01-18,139.444977,144.501663,136.197693,139.276108,110.238655,3847827
2010-01-19,142.282135,142.282135,135.102402,136.950409,108.397835,3438063
2010-01-20,137.032440,137.707947,135.946793,137.133759,108.542953,4694755
2010-01-21,137.133759,137.514938,129.519775,130.923874,103.627754,6244344
2010-01-22,128.829788,130.634369,125.775513,128.738113,101.897697,8233345
2010-01-25,128.617493,128.858734,125.741737,127.329185,100.782516,4570903
2010-01-27,126.513748,129.099991,125.452232,126.586128,100.194382,6091705
2010-01-28,127.112061,128.636780,122.393127,127.710373,101.084244,4992066
2010-01-29,122.687454,127.478767,122.687454,125.925087,99.671173,4893944
2010-02-01,126.127747,126.127747,124.183235,124.796021,98.777504,4093771
2010-02-02,125.645233,126.127747,123.348495,123.917854,98.082420,3913546
2010-02-03,124.742943,127.372612,123.522194,125.341255,99.209053,3014164
2010-02-04,124.993851,125.452232,122.750183,123.276115,97.574463,2525157
2010-02-05,122.533051,125.355728,121.133781,124.057777,98.193169,2735443
2010-02-06,null,null,null,null,null,null
2010-02-08,125.355728,128.482391,121.592163,123.999878,98.147339,4735698
2010-02-09,122.991440,126.402771,122.566826,125.476357,99.315994,2547643
2010-02-10,125.934738,125.934738,122.460678,123.049339,97.394966,4704952
2010-02-11,123.522194,124.482391,121.592163,122.171173,96.699905,11406449
2010-02-15,123.020386,123.695900,119.290596,119.628349,94.687225,3788502
2010-02-16,121.640411,121.640411,118.697113,119.338844,94.458076,7787426
2010-02-17,120.144638,122.701935,120.144638,121.823769,96.424919,4250162
2010-02-18,122.074669,123.001083,118.552361,120.911827,95.703125,4894814
2010-02-19,119.276123,120.882874,118.706764,119.695900,94.740700,2557353
2010-02-22,121.592163,122.026421,120.434143,121.071053,95.829140,2627694
2010-02-23,121.206154,121.978172,119.763451,120.796021,95.611458,2066781
2010-02-24,120.627144,122.817734,119.855133,121.384682,96.077377,4427724
2010-02-25,118.721237,122.750183,118.721237,122.494453,96.955788,2511261
2010-02-26,122.460678,122.460678,115.666954,117.071060,92.663094,12185690
2010-03-02,116.960083,124.004707,115.445000,123.001083,97.356789,12669059
2010-03-03,124.004707,130.132568,123.362968,128.805664,101.951164,8367871
2010-03-04,128.829788,130.258011,126.069839,129.186844,102.252876,6799112
2010-03-05,129.119293,129.987808,127.922676,128.472733,101.687660,3595946
2010-03-08,128.829788,130.451019,128.829788,129.900955,102.818115,3097302
2010-03-09,129.215805,129.987808,127.416039,128.410004,101.638016,1699783
2010-03-10,128.443787,131.724838,127.691071,129.582504,102.566055,3856086
2010-03-11,130.373825,131.271286,127.444992,128.207352,101.477608,3591127
2010-03-12,129.215805,131.049332,128.299026,130.494446,103.287880,3635779
2010-03-15,130.494446,131.232681,129.312302,131.131363,103.792007,6491407
2010-03-16,131.237503,134.137390,129.804459,133.625931,105.766479,8091120
2010-03-17,134.040878,134.716400,130.865982,131.517365,104.097519,5854476
2010-03-18,132.014343,132.950409,129.075867,129.679001,102.642433,2319254
2010-03-19,130.518570,132.381058,129.925079,131.174789,103.826363,2363947
2010-03-22,129.987808,132.081894,127.845474,128.945587,102.061920,3516735
2010-03-23,129.794815,131.242340,129.124115,130.851501,103.570465,3781165
2010-03-25,130.557175,132.385880,129.312302,130.368988,103.188560,7282575
2010-03-26,131.242340,132.062592,130.687454,131.671768,104.219742,3391297
2010-03-29,131.623520,132.786362,130.499268,131.946793,104.437408,4349363
2010-03-30,132.207352,134.899750,131.599396,132.501678,104.876610,3116296
2010-03-31,133.365372,134.132553,130.774307,132.559586,104.922447,3340976
2010-04-01,133.654877,133.654877,129.331604,130.764648,103.501747,4366347
2010-04-05,130.759827,134.489609,130.759827,133.572845,105.724457,4818992
2010-04-06,134.161514,135.913010,131.256805,132.188049,104.628365,5702136
2010-04-07,132.496857,133.751373,131.657288,133.244751,105.464760,2970486
2010-04-08,133.172363,133.596970,131.483582,132.332809,104.742966,2277855
2010-04-09,132.207352,133.172363,130.899750,131.903366,104.403038,3222605
2010-04-12,132.014343,133.172363,128.878036,129.794815,102.734100,2732345
2010-04-13,129.987808,130.740524,128.781540,129.355728,102.386551,2372662
2010-04-15,130.383469,131.628342,128.188049,128.810486,101.954994,2621528
2010-04-16,127.671768,129.794815,127.527016,127.869598,101.210274,2304093
2010-04-19,127.493240,127.768272,125.548729,126.808083,100.370071,2826830
2010-04-20,126.899757,128.704346,124.593369,126.677803,100.266953,3221010
2010-04-21,126.899757,129.457047,126.610252,127.816521,101.168251,2541229
